#  airfoilCW                                       
#  alpha =   2.0000
#  Mach  =   0.0000
#  Reyn  =   400000
#  Ncrit =   9.0000
#
#    x           dT
   0.65347      0.12457E-02
   0.66757      0.12967E-02
   0.68169      0.13547E-02
   0.69587      0.14214E-02
   0.71015      0.14945E-02
   0.72456      0.15752E-02
   0.73911      0.16616E-02
   0.75381      0.17540E-02
   0.76867      0.18512E-02
   0.78368      0.19533E-02
   0.79880      0.20582E-02
   0.81397      0.21658E-02
   0.82914      0.22747E-02
   0.84428      0.23843E-02
   0.85934      0.24939E-02
   0.87432      0.26039E-02
   0.88918      0.27149E-02
   0.90387      0.28273E-02
   0.91823      0.29439E-02
   0.93204      0.30690E-02
   0.94510      0.32035E-02
   0.95724      0.33518E-02
   0.96834      0.35175E-02
   0.97836      0.36997E-02
   0.98730      0.38938E-02
   0.99523      0.41094E-02
    1.0000      0.41682E-02
    1.0001      0.59150E-02
    1.0048      0.59819E-02
    1.0101      0.61342E-02
    1.0163      0.62457E-02
    1.0233      0.63181E-02
    1.0312      0.63406E-02
    1.0403      0.63073E-02
    1.0507      0.62190E-02
    1.0626      0.60844E-02
    1.0762      0.59185E-02
    1.0916      0.57385E-02
    1.1092      0.55595E-02
    1.1294      0.53921E-02
    1.1523      0.52412E-02
    1.1786      0.51081E-02
    1.2085      0.49921E-02
    1.2426      0.48913E-02
    1.2815      0.48038E-02
    1.3260      0.47278E-02

